Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,C1711
"FID1, FID2, FID3",Fiducial_0.5mm_Mask1mm,3,Fiducial,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 1,C131334
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,C7494857
J2,PinHeader_1x02_P2.54mm_Vertical,1,TERM,C7494857
J3,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,GPS SIM,C157974
J4,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,CAN BUS,C157993
J9,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,JOYSTICK 1,C157993
L1,ACT1210-510-2P-TL00,1,ACT1210-510-2P-TL00,C95572
"R1, R2",0805,2,10k,C17414
R3,0805,1,120,C17437
U1,Teensy_4.0,1,TEENSY 4.0,
U2,HVSON8_0_65mm,1,TJA1462ATK-0Z,C3229259
U3,SOT-23,1,PESD2CANFD24V-TR,C552486
